Names,Frequency,Years,Gender,Rank
STEPHANIE,3403,1993,F,416.0
EMILY,3398,2003,F,419.0
EMILY,3395,2004,F,420.0
JOSE,3391,2004,M,421.0
DANIEL,3390,2009,M,422.0
JEFFREY,3389,1962,M,423.0
CHRISTOPHER,3386,1998,M,424.0
ROBERT,3385,1976,M,425.0
RYAN,3381,1988,M,426.0
DANIEL,3373,1977,M,427.0
ROBERT,3365,1977,M,428.0
JACOB,3363,2001,M,429.0
JOSE,3363,2003,M,429.0
RICHARD,3363,1969,M,429.0
JOSHUA,3362,1981,M,432.0
STEVEN,3362,1965,M,432.0
JACOB,3358,2002,M,434.0
JOSEPH,3357,1989,M,435.0
JENNIFER,3356,1992,F,436.0
ISABELLA,3354,2010,F,437.0
SOPHIA,3352,2010,F,438.0
MATTHEW,3350,1980,M,439.0
JOSHUA,3348,2002,M,440.0
JACOB,3347,2003,M,441.0
RYAN,3346,1983,M,442.0
DAVID,3344,2003,M,443.0
KEVIN,3342,1994,M,444.0
JOSHUA,3338,2000,M,445.0
JACOB,3335,2010,M,446.0
ROBERT,3332,1978,M,447.0
JACOB,3330,2004,M,448.0
DAVID,3323,2001,M,449.0
JONATHAN,3319,1996,M,450.0
CHRISTOPHER,3311,2000,M,451.0
MATTHEW,3309,1996,M,452.0
JONATHAN,3308,1994,M,453.0
JOSHUA,3308,1996,M,453.0
JUSTIN,3301,1988,M,455.0
SUSAN,3299,1960,F,456.0
JOSHUA,3294,1983,M,457.0
JOSHUA,3292,2004,M,458.0
MATTHEW,3285,1999,M,459.0
JOSE,3284,1987,M,460.0
JOSEPH,3284,1988,M,460.0
RYAN,3281,1991,M,462.0
EMILY,3276,2005,F,463.0
MICHAEL,3266,2001,M,464.0
DAVID,3263,2000,M,465.0
KEVIN,3262,1990,M,466.0
BRANDON,3258,1994,M,467.0
RICHARD,3258,1970,M,467.0
STEPHANIE,3254,1988,F,469.0
DAVID,3253,2005,M,470.0
DAVID,3248,2004,M,471.0
MARY,3248,1960,F,471.0
NICHOLAS,3244,1989,M,473.0
ANGEL,3241,2003,M,474.0
ANGEL,3241,2004,M,474.0
MATTHEW,3238,2000,M,476.0
CHRISTOPHER,3237,1999,M,477.0
JOSHUA,3230,1998,M,478.0
JAMES,3228,1985,M,479.0
SUSAN,3221,1961,F,480.0
JONATHAN,3220,1995,M,481.0
CHRISTIN*,3216,1969,F,482.0
JOSHUA,3216,1982,M,482.0
JEFFREY,3213,1963,M,484.0
JOHN,3213,1981,M,484.0
DANIEL,3212,1961,M,486.0
JOSHUA,3209,2005,M,487.0
CHRISTIN*,3206,1970,F,488.0
JACOB,3206,1997,M,488.0
MICHAEL,3205,2002,M,490.0
JOSE,3203,2005,M,491.0
JAMES,3202,1982,M,492.0
JOSHUA,3202,2003,M,492.0
AMANDA,3198,1991,F,494.0
MATTHEW,3198,1997,M,494.0
JOSHUA,3196,2001,M,496.0
ANGEL,3194,2008,M,497.0
STEVEN,3191,1966,M,498.0
JACOB,3190,2006,M,499.0
ROBERT,3190,1991,M,499.0
NICHOLAS,3188,1991,M,501.0
JESSICA,3187,1997,F,502.0
AMANDA,3180,1985,F,503.0
DANIEL,3179,1976,M,504.0
JOSEPH,3179,1992,M,504.0
JONATHAN,3178,1997,M,506.0
SOPHIA,3174,2014,F,507.0
DAVID,3173,2002,M,508.0
MICHELLE*,3167,1971,F,509.0
MARK,3166,1966,M,510.0
WILLIAM,3158,1965,M,511.0
ISABELLA,3156,2009,F,512.0
KAREN,3156,1960,F,512.0
CHRISTOP*,3153,1968,M,514.0
JACOB,3153,2011,M,514.0
RYAN,3153,1981,M,514.0
ASHLEY,3147,1994,F,517.0
JOSEPH,3147,1987,M,517.0
JAMES,3145,1984,M,519.0
JOHN,3144,1973,M,520.0
ANDREW,3139,2005,M,521.0
DAVID,3135,2006,M,522.0
DANIEL,3132,2010,M,523.0
DANIEL,3131,1963,M,524.0
MARK,3130,1967,M,525.0
RYAN,3128,1993,M,526.0
RYAN,3123,1982,M,527.0
ELIZABETH,3121,1990,F,528.0
ANDREW,3120,2006,M,529.0
RYAN,3120,1992,M,529.0
JEFFREY,3118,1961,M,531.0
JOSHUA,3117,1999,M,532.0
JOSHUA,3116,1980,M,533.0
JONATHAN,3114,1987,M,534.0
JAMES,3112,1988,M,535.0
JOSE,3112,2006,M,535.0
DAVID,3111,2007,M,537.0
JAMES,3111,1978,M,537.0
ANTHONY,3108,1986,M,539.0
